metric,phase,role,n_available,missingness_rate,unique_values,corr_task_success,corr_outcome_rank,ceiling_rate,floor_rate,validity_assessment
agent_a_selection_regret,Agent A evaluation,associated diagnostic metric,506,0.09156193895870735,10,-0.5035601764346758,-0.5035601764346758,0.017953321364452424,0.0017953321364452424,usable as descriptive indicator; verify construct overlap and matched-condition stability
agent_b_best_route_discovery_rate,Agent B response / grounding,associated diagnostic metric,557,0.0,2,0.5677617833242343,0.5557769078417679,0.7145421903052065,0.28545780969479356,usable as descriptive indicator; verify construct overlap and matched-condition stability
agent_b_complete_route_rate,Agent B response / grounding,associated diagnostic metric,557,0.0,18,0.7919446185354203,0.7752050451164004,0.5242369838420108,0.11310592459605028,usable as descriptive indicator; verify construct overlap and matched-condition stability
agent_b_destination_reach_rate,Agent B response / grounding,associated diagnostic metric,557,0.0,18,0.7919446185354203,0.7752050451164004,0.5242369838420108,0.11310592459605028,usable as descriptive indicator; verify construct overlap and matched-condition stability
agent_b_distinct_1,Agent B response / grounding,associated diagnostic metric,557,0.0,261,-0.7860367828627569,-0.8488651196975845,0.00718132854578097,0.0017953321364452424,usable as descriptive indicator; verify construct overlap and matched-condition stability
agent_b_dominated_proposal_rate,Agent B response / grounding,associated diagnostic metric,557,0.0,12,0.871620971739901,0.8624394019607522,0.0017953321364452424,0.11131059245960502,usable as descriptive indicator; verify construct overlap and matched-condition stability
agent_b_duration_regret,Agent B response / grounding,associated diagnostic metric,506,0.09156193895870735,10,-0.5035601764346758,-0.5035601764346758,0.017953321364452424,0.0017953321364452424,usable as descriptive indicator; verify construct overlap and matched-condition stability
agent_b_mode_permission_compliance,Agent B response / grounding,associated diagnostic metric,557,0.0,2,0.8659216695319517,0.9618399029499635,0.9084380610412927,0.09156193895870736,usable as descriptive indicator; verify construct overlap and matched-condition stability
agent_b_proposal_parse_rate,Agent B response / grounding,associated diagnostic metric,557,0.0,24,0.7713554268678007,0.7864065712623172,0.3016157989228007,0.09156193895870736,usable as descriptive indicator; verify construct overlap and matched-condition stability
agent_b_route_validity_rate,Agent B response / grounding,associated diagnostic metric,557,0.0,18,0.8251818509976316,0.8449102300608035,0.6247755834829444,0.09156193895870736,usable as descriptive indicator; verify construct overlap and matched-condition stability
audio_silence_ratio,Audio / turn-taking,associated diagnostic metric,557,0.0,264,-0.550505452676506,-0.58280956956048,0.0017953321364452424,0.06642728904847396,usable as descriptive indicator; verify construct overlap and matched-condition stability
asr_character_error_rate,Automatic speech recognition,associated diagnostic metric,557,0.0,290,-0.7450097425947206,-0.8215035252600731,0.0017953321364452424,0.15798922800718132,usable as descriptive indicator; verify construct overlap and matched-condition stability
asr_station_precision,Automatic speech recognition,associated diagnostic metric,557,0.0,24,0.6015201683301631,0.6718207837989477,0.7324955116696589,0.05026929982046679,usable as descriptive indicator; verify construct overlap and matched-condition stability
asr_station_recall,Automatic speech recognition,associated diagnostic metric,557,0.0,69,0.8424165701762948,0.9242015284140129,0.6140035906642729,0.05026929982046679,usable as descriptive indicator; verify construct overlap and matched-condition stability
dialogue_management_distinct_proposal_rate,Dialogue management,associated diagnostic metric,557,0.0,12,0.7290789933295833,0.8151234470072823,0.5421903052064632,0.09156193895870736,usable as descriptive indicator; verify construct overlap and matched-condition stability
dialogue_management_policy_progress_rate,Dialogue management,associated diagnostic metric,557,0.0,13,0.691137928871298,0.7772776903536932,0.49012567324955114,0.09156193895870736,usable as descriptive indicator; verify construct overlap and matched-condition stability
dialogue_management_stop_decision_accuracy,Dialogue management,associated diagnostic metric,557,0.0,2,0.5516483791823037,0.544894730030631,0.7540394973070018,0.2459605026929982,usable as descriptive indicator; verify construct overlap and matched-condition stability
dialogue_management_turn_efficiency,Dialogue management,associated diagnostic metric,557,0.0,38,0.6406383713024246,0.6552127560616645,0.01615798922800718,0.09156193895870736,usable as descriptive indicator; verify construct overlap and matched-condition stability
