source_run,phase,phase_order,phase_score,declared_range_metric_count,available_metric_count,registered_metric_count,metric_coverage_rate,observation_count,interpretation
20260713_122754_b-n0001,user_simulation,0,0.6666666666666666,12,14,14,1.0,14,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260713_122754_b-n0001,audio_input,1,0.8571428571428571,7,12,12,1.0,12,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260713_122754_b-n0001,asr,2,0.763155,20,23,23,1.0,23,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260713_122754_b-n0001,nlu,3,0.875,16,17,17,1.0,17,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260713_122754_b-n0001,dialogue_state_tracking,4,0.8888888888888888,18,18,18,1.0,18,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260713_122754_b-n0001,dialogue_management,5,0.7738095238095238,21,21,21,1.0,21,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260713_122754_b-n0001,backend_task_execution,6,0.8611588235294118,17,19,20,0.95,19,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260713_122754_b-n0001,nlg,7,0.5630275862068965,29,29,29,1.0,29,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260713_122754_b-n0001,tts,8,0.7870232142857143,14,17,22,0.7727272727272727,17,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260713_122754_b-n0001,task_outcome,9,0.9093166666666667,12,19,19,1.0,19,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260713_122754_b-n0001,whole_dialogue,10,0.4829578947368421,19,29,31,0.9354838709677419,29,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260713_122754_b-n0001,metric_validity,11,,0,0,5,0.0,0,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
