source_run,phase,phase_order,phase_score,declared_range_metric_count,available_metric_count,registered_metric_count,metric_coverage_rate,observation_count,interpretation
20260714_061552_b-n0001,user_simulation,0,0.6666666666666666,12,13,14,0.9285714285714286,13,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260714_061552_b-n0001,audio_input,1,0.8571428571428571,7,12,12,1.0,12,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260714_061552_b-n0001,asr,2,0.378525,20,23,23,1.0,23,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260714_061552_b-n0001,nlu,3,0.125,16,17,17,1.0,17,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260714_061552_b-n0001,dialogue_state_tracking,4,0.6666666666666666,15,15,18,0.8333333333333334,15,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260714_061552_b-n0001,dialogue_management,5,0.49083499999999997,20,20,21,0.9523809523809523,20,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260714_061552_b-n0001,backend_task_execution,6,0.1625,16,17,20,0.85,17,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260714_061552_b-n0001,nlg,7,0.357223076923077,26,26,29,0.896551724137931,26,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260714_061552_b-n0001,tts,8,0.5157,14,17,22,0.7727272727272727,17,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260714_061552_b-n0001,task_outcome,9,0.075,10,14,19,0.7368421052631579,14,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260714_061552_b-n0001,whole_dialogue,10,0.26908421052631576,19,29,31,0.9354838709677419,29,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260714_061552_b-n0001,metric_validity,11,,0,0,5,0.0,0,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
