source_run,phase,phase_order,phase_score,declared_range_metric_count,available_metric_count,registered_metric_count,metric_coverage_rate,observation_count,interpretation
20260714_153446_b-n0001,user_simulation,0,0.6666666666666666,12,13,14,0.9285714285714286,13,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260714_153446_b-n0001,audio_input,1,0.8571428571428571,7,12,12,1.0,12,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260714_153446_b-n0001,asr,2,0.669229411764706,17,20,23,0.8695652173913043,20,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260714_153446_b-n0001,nlu,3,0.05714285714285715,7,8,17,0.47058823529411764,8,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260714_153446_b-n0001,dialogue_state_tracking,4,0.7230769230769231,13,13,18,0.7222222222222222,13,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260714_153446_b-n0001,dialogue_management,5,0.5275000000000001,20,20,21,0.9523809523809523,20,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260714_153446_b-n0001,backend_task_execution,6,0.175,16,17,20,0.85,17,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260714_153446_b-n0001,nlg,7,0.3001692307692308,26,26,29,0.896551724137931,26,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260714_153446_b-n0001,tts,8,0.7511730769230769,13,16,22,0.7272727272727273,16,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260714_153446_b-n0001,task_outcome,9,0.075,10,14,19,0.7368421052631579,14,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260714_153446_b-n0001,whole_dialogue,10,0.24679473684210526,19,29,31,0.9354838709677419,29,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260714_153446_b-n0001,metric_validity,11,,0,0,5,0.0,0,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
