result_scope,result_run_id,condition_id,pair_id,run_type,test_case_key,persona_key,scenario_key,speech_pattern_key,agent_a_audio_persona,agent_b_audio_persona,model_name,model_param_key,factor_agent_a_type,factor_agent_b_plugin,factor_tts_engine,factor_asr_engine,factor_network_seed,factor_agent_b_llm_size,factor_agent_b_model_role,factor_agent_b_model_slot,factor_asr_beam_size,factor_dialogue_stagnation_limit,factor_experiment_platform,factor_matrix_family,factor_minimum_stage_suboptimal_options,factor_transfer_tolerance,factor_profile_key,factor_pipeline_pressure_profile_key,factor_pressure_strategy,factor_expected_outcome_band,factor_asr_domain_normalization_enabled,factor_asr_domain_similarity_threshold,factor_channel_noise_snr_db,factor_channel_gain_db,factor_channel_clip_threshold,factor_channel_dropout_rate,factor_num_turns,factor_max_turn_elapsed_sec,factor_speech_performance_profile_key,factor_speech_performance_band,factor_speech_performance_rank,factor_agent_a_custom_audio,factor_agent_b_custom_audio,factor_max_utterance_sec,phase_order,phase,phase_title,metric_key,metric_name,metric_label,value,value_numeric,value_text,available,unit,evidence_class,scope,higher_is_better,range_min,range_max,normalized_percentage,selection_rationale,formula,operands_json,substitution,unavailable_reason
batch,20260713_050600_b-n0001,C-AC-CAR-HESIT-PIP-FWH-QQ515-PAD-MED-I0-8521667097-T,P-8521667097,text_only,airport_connection:crowd_averse_rider,crowd_averse_rider,airport_connection,hesitant,degraded_caller,degraded_operator,Qwen/Qwen2.5-1.5B-Instruct,greedy,userlm,llm,file,file,42,medium,pressure_medium_qwen,medium1,6,2,linux,userlm_pressure_grid_v1,2,1,P3-asr-degradation,asr_degradation,asr_degradation,semi_successful_or_unsuccessful,True,0.92,15.0,-6.0,0.7,0.04,12,5.0,challenging,challenging,1,False,False,16.0,0,user_simulation,0. User Simulation and Input,agent_a_verifier_catch_rate,verifier_catch_rate,Invalid-Route Catch Rate,1.0,1.0,,True,ratio_or_score,D,single_run,True,0.0,1.0,,Selected because it tests whether the caller correctly verifies proposals and expresses effort or satisfaction; the measured construct is invalid-route catch rate.,eligible successful observations / eligible observations,"{""messages"": 11}",eligible successful observations / eligible observations with recorded operands = 1.0,
batch,20260713_050600_b-n0001,C-AC-CAR-HESIT-PIP-FWH-QQ515-PAD-MED-I0-8521667097-T,P-8521667097,text_only,airport_connection:crowd_averse_rider,crowd_averse_rider,airport_connection,hesitant,degraded_caller,degraded_operator,Qwen/Qwen2.5-1.5B-Instruct,greedy,userlm,llm,file,file,42,medium,pressure_medium_qwen,medium1,6,2,linux,userlm_pressure_grid_v1,2,1,P3-asr-degradation,asr_degradation,asr_degradation,semi_successful_or_unsuccessful,True,0.92,15.0,-6.0,0.7,0.04,12,5.0,challenging,challenging,1,False,False,16.0,0,user_simulation,0. User Simulation and Input,agent_a_constraint_violation_catch_rate,constraint_violation_catch_rate,Constraint-Violation Catch Rate,1.0,1.0,,True,ratio_or_score,D,single_run,True,0.0,1.0,,Selected because it tests whether the caller correctly verifies proposals and expresses effort or satisfaction; the measured construct is constraint-violation catch rate.,eligible successful observations / eligible observations,"{""messages"": 11}",eligible successful observations / eligible observations with recorded operands = 1.0,
batch,20260713_050600_b-n0001,C-AC-CAR-HESIT-PIP-FWH-QQ515-PAD-MED-I0-8521667097-T,P-8521667097,text_only,airport_connection:crowd_averse_rider,crowd_averse_rider,airport_connection,hesitant,degraded_caller,degraded_operator,Qwen/Qwen2.5-1.5B-Instruct,greedy,userlm,llm,file,file,42,medium,pressure_medium_qwen,medium1,6,2,linux,userlm_pressure_grid_v1,2,1,P3-asr-degradation,asr_degradation,asr_degradation,semi_successful_or_unsuccessful,True,0.92,15.0,-6.0,0.7,0.04,12,5.0,challenging,challenging,1,False,False,16.0,0,user_simulation,0. User Simulation and Input,agent_a_time_limit_violation_catch_rate,time_limit_violation_catch_rate,Time-Limit Violation Catch Rate,1.0,1.0,,True,ratio_or_score,D,single_run,True,0.0,1.0,,Selected because it tests whether the caller correctly verifies proposals and expresses effort or satisfaction; the measured construct is time-limit violation catch rate.,eligible successful observations / eligible observations,"{""messages"": 11}",eligible successful observations / eligible observations with recorded operands = 1.0,
batch,20260713_050600_b-n0001,C-AC-CAR-HESIT-PIP-FWH-QQ515-PAD-MED-I0-8521667097-T,P-8521667097,text_only,airport_connection:crowd_averse_rider,crowd_averse_rider,airport_connection,hesitant,degraded_caller,degraded_operator,Qwen/Qwen2.5-1.5B-Instruct,greedy,userlm,llm,file,file,42,medium,pressure_medium_qwen,medium1,6,2,linux,userlm_pressure_grid_v1,2,1,P3-asr-degradation,asr_degradation,asr_degradation,semi_successful_or_unsuccessful,True,0.92,15.0,-6.0,0.7,0.04,12,5.0,challenging,challenging,1,False,False,16.0,0,user_simulation,0. User Simulation and Input,agent_a_false_acceptance_rate,false_acceptance_rate,False Acceptance Rate,0.0,0.0,,True,ratio_or_score,D,single_run,True,0.0,1.0,,Selected because it tests whether the caller correctly verifies proposals and expresses effort or satisfaction; the measured construct is false acceptance rate.,eligible successful observations / eligible observations,"{""messages"": 11}",eligible successful observations / eligible observations with recorded operands = 0.0,
batch,20260713_050600_b-n0001,C-AC-CAR-HESIT-PIP-FWH-QQ515-PAD-MED-I0-8521667097-T,P-8521667097,text_only,airport_connection:crowd_averse_rider,crowd_averse_rider,airport_connection,hesitant,degraded_caller,degraded_operator,Qwen/Qwen2.5-1.5B-Instruct,greedy,userlm,llm,file,file,42,medium,pressure_medium_qwen,medium1,6,2,linux,userlm_pressure_grid_v1,2,1,P3-asr-degradation,asr_degradation,asr_degradation,semi_successful_or_unsuccessful,True,0.92,15.0,-6.0,0.7,0.04,12,5.0,challenging,challenging,1,False,False,16.0,0,user_simulation,0. User Simulation and Input,agent_a_false_rejection_rate,false_rejection_rate,False Rejection Rate,0.0,0.0,,True,ratio_or_score,D,single_run,True,0.0,1.0,,Selected because it tests whether the caller correctly verifies proposals and expresses effort or satisfaction; the measured construct is false rejection rate.,eligible successful observations / eligible observations,"{""messages"": 11}",eligible successful observations / eligible observations with recorded operands = 0.0,
batch,20260713_050600_b-n0001,C-AC-CAR-HESIT-PIP-FWH-QQ515-PAD-MED-I0-8521667097-T,P-8521667097,text_only,airport_connection:crowd_averse_rider,crowd_averse_rider,airport_connection,hesitant,degraded_caller,degraded_operator,Qwen/Qwen2.5-1.5B-Instruct,greedy,userlm,llm,file,file,42,medium,pressure_medium_qwen,medium1,6,2,linux,userlm_pressure_grid_v1,2,1,P3-asr-degradation,asr_degradation,asr_degradation,semi_successful_or_unsuccessful,True,0.92,15.0,-6.0,0.7,0.04,12,5.0,challenging,challenging,1,False,False,16.0,0,user_simulation,0. User Simulation and Input,agent_a_correct_acceptance_rate,correct_acceptance_rate,Correct Acceptance Rate,1.0,1.0,,True,ratio_or_score,D,single_run,True,0.0,1.0,,Selected because it tests whether the caller correctly verifies proposals and expresses effort or satisfaction; the measured construct is correct acceptance rate.,eligible successful observations / eligible observations,"{""messages"": 11}",eligible successful observations / eligible observations with recorded operands = 1.0,
batch,20260713_050600_b-n0001,C-AC-CAR-HESIT-PIP-FWH-QQ515-PAD-MED-I0-8521667097-T,P-8521667097,text_only,airport_connection:crowd_averse_rider,crowd_averse_rider,airport_connection,hesitant,degraded_caller,degraded_operator,Qwen/Qwen2.5-1.5B-Instruct,greedy,userlm,llm,file,file,42,medium,pressure_medium_qwen,medium1,6,2,linux,userlm_pressure_grid_v1,2,1,P3-asr-degradation,asr_degradation,asr_degradation,semi_successful_or_unsuccessful,True,0.92,15.0,-6.0,0.7,0.04,12,5.0,challenging,challenging,1,False,False,16.0,0,user_simulation,0. User Simulation and Input,agent_a_constraint_revelation_order,constraint_revelation_order,Constraint Revelation Order,1.0,1.0,,True,ratio_or_score,D,single_run,True,0.0,1.0,,Selected because it tests whether the caller correctly verifies proposals and expresses effort or satisfaction; the measured construct is constraint revelation order.,deterministic derivation from the recorded pipeline trace,"{""messages"": 11}",deterministic derivation from the recorded pipeline trace with recorded operands = 1.0,
batch,20260713_050600_b-n0001,C-AC-CAR-HESIT-PIP-FWH-QQ515-PAD-MED-I0-8521667097-T,P-8521667097,text_only,airport_connection:crowd_averse_rider,crowd_averse_rider,airport_connection,hesitant,degraded_caller,degraded_operator,Qwen/Qwen2.5-1.5B-Instruct,greedy,userlm,llm,file,file,42,medium,pressure_medium_qwen,medium1,6,2,linux,userlm_pressure_grid_v1,2,1,P3-asr-degradation,asr_degradation,asr_degradation,semi_successful_or_unsuccessful,True,0.92,15.0,-6.0,0.7,0.04,12,5.0,challenging,challenging,1,False,False,16.0,0,user_simulation,0. User Simulation and Input,agent_a_preference_consistency,preference_consistency,Preference Consistency,1.0,1.0,,True,ratio_or_score,D,single_run,True,0.0,1.0,,Selected because it tests whether the caller correctly verifies proposals and expresses effort or satisfaction; the measured construct is preference consistency.,deterministic derivation from the recorded pipeline trace,"{""messages"": 11}",deterministic derivation from the recorded pipeline trace with recorded operands = 1.0,
batch,20260713_050600_b-n0001,C-AC-CAR-HESIT-PIP-FWH-QQ515-PAD-MED-I0-8521667097-T,P-8521667097,text_only,airport_connection:crowd_averse_rider,crowd_averse_rider,airport_connection,hesitant,degraded_caller,degraded_operator,Qwen/Qwen2.5-1.5B-Instruct,greedy,userlm,llm,file,file,42,medium,pressure_medium_qwen,medium1,6,2,linux,userlm_pressure_grid_v1,2,1,P3-asr-degradation,asr_degradation,asr_degradation,semi_successful_or_unsuccessful,True,0.92,15.0,-6.0,0.7,0.04,12,5.0,challenging,challenging,1,False,False,16.0,0,user_simulation,0. User Simulation and Input,agent_a_best_candidate_retention,best_candidate_retention,Best-Candidate Retention,1.0,1.0,,True,ratio_or_score,D,single_run,True,0.0,1.0,,Selected because it tests whether the caller correctly verifies proposals and expresses effort or satisfaction; the measured construct is best-candidate retention.,deterministic derivation from the recorded pipeline trace,"{""messages"": 11}",deterministic derivation from the recorded pipeline trace with recorded operands = 1.0,
batch,20260713_050600_b-n0001,C-AC-CAR-HESIT-PIP-FWH-QQ515-PAD-MED-I0-8521667097-T,P-8521667097,text_only,airport_connection:crowd_averse_rider,crowd_averse_rider,airport_connection,hesitant,degraded_caller,degraded_operator,Qwen/Qwen2.5-1.5B-Instruct,greedy,userlm,llm,file,file,42,medium,pressure_medium_qwen,medium1,6,2,linux,userlm_pressure_grid_v1,2,1,P3-asr-degradation,asr_degradation,asr_degradation,semi_successful_or_unsuccessful,True,0.92,15.0,-6.0,0.7,0.04,12,5.0,challenging,challenging,1,False,False,16.0,0,user_simulation,0. User Simulation and Input,agent_a_selection_regret,selection_regret,Selection Regret,4,4.0,,True,minutes_or_domain_units,D,single_run,False,,,,Selected because it tests whether the caller correctly verifies proposals and expresses effort or satisfaction; the measured construct is selection regret.,deterministic derivation from the recorded pipeline trace,"{""messages"": 11}",deterministic derivation from the recorded pipeline trace with recorded operands = 4,
