source_run,phase,phase_order,phase_score,declared_range_metric_count,available_metric_count,registered_metric_count,metric_coverage_rate,observation_count,interpretation
20260713_132125_b-n0001,user_simulation,0,0.75,12,14,14,1.0,14,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260713_132125_b-n0001,audio_input,1,0.8566,7,12,12,1.0,12,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260713_132125_b-n0001,asr,2,0.78737,20,23,23,1.0,23,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260713_132125_b-n0001,nlu,3,0.6875,16,17,17,1.0,17,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260713_132125_b-n0001,dialogue_state_tracking,4,0.7999999999999999,17,17,18,0.9444444444444444,17,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260713_132125_b-n0001,dialogue_management,5,0.5955,21,21,21,1.0,21,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260713_132125_b-n0001,backend_task_execution,6,0.45443529411764705,17,19,20,0.95,19,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260713_132125_b-n0001,nlg,7,0.30675185185185183,27,27,29,0.9310344827586207,27,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260713_132125_b-n0001,tts,8,0.8212017857142857,14,17,22,0.7727272727272727,17,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260713_132125_b-n0001,task_outcome,9,0.30578181818181815,11,17,19,0.8947368421052632,17,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260713_132125_b-n0001,whole_dialogue,10,0.2974210526315789,19,29,31,0.9354838709677419,29,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260713_132125_b-n0001,metric_validity,11,,0,0,5,0.0,0,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
