source_run,phase,phase_order,phase_score,declared_range_metric_count,available_metric_count,registered_metric_count,metric_coverage_rate,observation_count,interpretation
20260712_172727_b-n0001_02,user_simulation,0,0.5,10,11,14,0.7857142857142857,11,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260712_172727_b-n0001_02,audio_input,1,0.0,2,4,12,0.3333333333333333,4,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260712_172727_b-n0001_02,asr,2,0.5,12,14,23,0.6086956521739131,14,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260712_172727_b-n0001_02,nlu,3,0.0,6,6,17,0.35294117647058826,6,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260712_172727_b-n0001_02,dialogue_state_tracking,4,0.4,5,5,18,0.2777777777777778,5,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260712_172727_b-n0001_02,dialogue_management,5,0.47368421052631576,19,19,21,0.9047619047619048,19,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260712_172727_b-n0001_02,backend_task_execution,6,0.2,15,15,20,0.75,15,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260712_172727_b-n0001_02,nlg,7,0.07692307692307693,26,26,29,0.896551724137931,26,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260712_172727_b-n0001_02,tts,8,0.25,4,4,22,0.18181818181818182,4,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260712_172727_b-n0001_02,task_outcome,9,0.0,9,13,19,0.6842105263157895,13,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260712_172727_b-n0001_02,whole_dialogue,10,0.13741764705882353,17,27,31,0.8709677419354839,27,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260712_172727_b-n0001_02,metric_validity,11,,0,0,5,0.0,0,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
