source_run,phase,phase_order,phase_score,declared_range_metric_count,available_metric_count,registered_metric_count,metric_coverage_rate,observation_count,interpretation
20260710_201202_b-n0001_02,user_simulation,0,0.8333333333333334,12,14,14,1.0,14,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260710_201202_b-n0001_02,audio_input,1,0.7312000000000001,7,12,12,1.0,12,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260710_201202_b-n0001_02,asr,2,0.71355,20,23,23,1.0,23,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260710_201202_b-n0001_02,nlu,3,0.7626625,16,17,17,1.0,17,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260710_201202_b-n0001_02,dialogue_state_tracking,4,0.8667333333333334,18,18,18,1.0,18,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260710_201202_b-n0001_02,dialogue_management,5,0.7159285714285714,21,21,21,1.0,21,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260710_201202_b-n0001_02,backend_task_execution,6,0.8803941176470588,17,20,20,1.0,20,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260710_201202_b-n0001_02,nlg,7,0.5428931034482759,29,29,29,1.0,29,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260710_201202_b-n0001_02,tts,8,0.6839892857142856,14,17,22,0.7727272727272727,17,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260710_201202_b-n0001_02,task_outcome,9,0.9791666666666666,12,19,19,1.0,19,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260710_201202_b-n0001_02,whole_dialogue,10,0.5243368421052632,19,29,31,0.9354838709677419,29,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260710_201202_b-n0001_02,metric_validity,11,,0,0,5,0.0,0,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
