source_run,phase,phase_order,phase_score,declared_range_metric_count,available_metric_count,registered_metric_count,metric_coverage_rate,observation_count,interpretation
20260711_181543_b-n0001_02,user_simulation,0,0.8333333333333334,12,14,14,1.0,14,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260711_181543_b-n0001_02,audio_input,1,0.8403428571428571,7,12,12,1.0,12,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260711_181543_b-n0001_02,asr,2,0.578195,20,23,23,1.0,23,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260711_181543_b-n0001_02,nlu,3,0.63185625,16,17,17,1.0,17,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260711_181543_b-n0001_02,dialogue_state_tracking,4,0.8057833333333333,18,18,18,1.0,18,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260711_181543_b-n0001_02,dialogue_management,5,0.6615809523809524,21,21,21,1.0,21,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260711_181543_b-n0001_02,backend_task_execution,6,0.8524529411764705,17,20,20,1.0,20,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260711_181543_b-n0001_02,nlg,7,0.43079655172413794,29,29,29,1.0,29,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260711_181543_b-n0001_02,tts,8,0.6965196428571429,14,17,22,0.7727272727272727,17,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260711_181543_b-n0001_02,task_outcome,9,0.9791666666666666,12,19,19,1.0,19,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260711_181543_b-n0001_02,whole_dialogue,10,0.5218368421052632,19,29,31,0.9354838709677419,29,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
20260711_181543_b-n0001_02,metric_validity,11,,0,0,5,0.0,0,equal-weighted descriptive score over available declared-range metrics; inspect component metrics before inference
