agent_a_type,agent_b_model,agent_b_llm_size,tts_engine,asr_engine,scenario_key,persona_key,speech_pattern_key,run_type,asr_beam_size,network_seed,agent_a_audio_persona,agent_b_audio_persona,speech_performance_band,transfer_tolerance,dialogue_stagnation_limit,planned_condition_count,observed_condition_count,completed_condition_count,interrupted_condition_count,not_started_condition_count,successful_condition_count,task_success_rate_completed,source_runs
tinyllama,gemma-2-2b-it,medium,piper,vosk,morning_peak_cross_city,focused_commuter,clean,audio_variant,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,1,0,0,0,1,0,,20260707_164001_b-n0001
tinyllama,gemma-2-2b-it,medium,piper,vosk,morning_peak_cross_city,focused_commuter,clean,text_only,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,1,0,0,0,1,0,,20260707_163901_b-n0001
tinyllama,gemma-2-2b-it,medium,piper,vosk,morning_peak_cross_city,focused_commuter,hesitant,audio_variant,6,42,degraded_caller,degraded_operator,challenging,,,1,0,0,0,1,0,,20260707_164503_b-n0001
tinyllama,gemma-2-2b-it,medium,piper,vosk,morning_peak_cross_city,focused_commuter,hesitant,text_only,6,42,degraded_caller,degraded_operator,challenging,,,1,0,0,0,1,0,,20260707_164403_b-n0001
tinyllama,gemma-2-2b-it,medium,piper,vosk,morning_peak_cross_city,focused_commuter,mostly_clean,audio_variant,11,42,neutral_caller,clear_operator,nominal,,,1,0,0,0,1,0,,20260707_164232_b-n0001
tinyllama,gemma-2-2b-it,medium,piper,vosk,morning_peak_cross_city,focused_commuter,mostly_clean,text_only,11,42,neutral_caller,clear_operator,nominal,,,1,0,0,0,1,0,,20260707_164101_b-n0001
tinyllama,gemma-2-2b-it,medium,piper,vosk,morning_peak_cross_city,focused_commuter,severe_channel,audio_variant,1,42,barely_understandable_caller,barely_understandable_operator,floor,,,1,0,0,0,1,0,,20260707_164902_b-n0001
tinyllama,gemma-2-2b-it,medium,piper,vosk,morning_peak_cross_city,focused_commuter,severe_channel,text_only,1,42,barely_understandable_caller,barely_understandable_operator,floor,,,1,0,0,0,1,0,,20260707_164733_b-n0001
tinyllama,Phi-3-mini-4k-instruct,medium,piper,vosk,morning_peak_cross_city,focused_commuter,clean,audio_variant,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,1,0,0,0,1,0,,20260707_164001_b-n0001
tinyllama,Phi-3-mini-4k-instruct,medium,piper,vosk,morning_peak_cross_city,focused_commuter,clean,text_only,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,1,0,0,0,1,0,,20260707_163901_b-n0001
tinyllama,Phi-3-mini-4k-instruct,medium,piper,vosk,morning_peak_cross_city,focused_commuter,hesitant,audio_variant,6,42,degraded_caller,degraded_operator,challenging,,,1,0,0,0,1,0,,20260707_164704_b-n0001
tinyllama,Phi-3-mini-4k-instruct,medium,piper,vosk,morning_peak_cross_city,focused_commuter,hesitant,text_only,6,42,degraded_caller,degraded_operator,challenging,,,1,0,0,0,1,0,,20260707_164403_b-n0001
tinyllama,Phi-3-mini-4k-instruct,medium,piper,vosk,morning_peak_cross_city,focused_commuter,mostly_clean,audio_variant,11,42,neutral_caller,clear_operator,nominal,,,1,0,0,0,1,0,,20260707_164232_b-n0001
tinyllama,Phi-3-mini-4k-instruct,medium,piper,vosk,morning_peak_cross_city,focused_commuter,mostly_clean,text_only,11,42,neutral_caller,clear_operator,nominal,,,1,0,0,0,1,0,,20260707_164101_b-n0001
tinyllama,Phi-3-mini-4k-instruct,medium,piper,vosk,morning_peak_cross_city,focused_commuter,severe_channel,audio_variant,1,42,barely_understandable_caller,barely_understandable_operator,floor,,,1,0,0,0,1,0,,20260707_164932_b-n0001
tinyllama,Phi-3-mini-4k-instruct,medium,piper,vosk,morning_peak_cross_city,focused_commuter,severe_channel,text_only,1,42,barely_understandable_caller,barely_understandable_operator,floor,,,1,0,0,0,1,0,,20260707_164832_b-n0001
tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,morning_peak_cross_city,focused_commuter,clean,audio_variant,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,1,0,0,0,1,0,,20260707_165804_b-n0001
tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,morning_peak_cross_city,focused_commuter,clean,text_only,16,42,high_clarity_caller,high_clarity_operator,ceiling,,,1,0,0,0,1,0,,20260707_165435_b-n0001
