source_run,condition_id,condition_state,agent_a_type,agent_b_model,agent_b_llm_size,tts_engine,asr_engine,run_type,scenario_key,persona_key,speech_pattern_key,phase_order,phase,observation_count,total_processing_sec,mean_processing_sec,maximum_processing_sec,pipeline_success_rate,error_count,misinterpreted_token_count,correction_count,valid_route_parse_rate,candidate_count,evidence_source
20260705_123702_b-n0026,C-MPCC-FC-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-acf3050f22-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,morning_peak_cross_city,focused_commuter,clean,1,natural_language_generation,9,1023.9976849999999,113.77752055555555,207.331833,,,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MPCC-FC-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-acf3050f22-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,morning_peak_cross_city,focused_commuter,clean,2,text_to_speech,9,11.93615,1.3262388888888887,1.681087,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MPCC-FC-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-acf3050f22-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,morning_peak_cross_city,focused_commuter,clean,3,automatic_speech_recognition,9,0.45763,0.050847777777777776,0.19305,1.0,0,0,0,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MPCC-FC-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-acf3050f22-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,morning_peak_cross_city,focused_commuter,clean,4,natural_language_understanding,4,0.022911,0.00572775,0.010157,,,,,1.0,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MPCC-FC-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-acf3050f22-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,morning_peak_cross_city,focused_commuter,clean,5,dialogue_management,4,0.026941,0.00673525,0.007725,,,,,,4,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MPCC-FC-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-acf3050f22-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,morning_peak_cross_city,focused_commuter,clean,6,speech_pipeline,9,12.401742,1.3779713333333334,1.711359,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MPCC-FC-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-acf3050f22-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,morning_peak_cross_city,focused_commuter,clean,1,natural_language_generation,9,457.955144,50.88390488888889,93.114735,,,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MPCC-FC-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-acf3050f22-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,morning_peak_cross_city,focused_commuter,clean,2,text_to_speech,9,22.025053,2.447228111111111,5.637732,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MPCC-FC-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-acf3050f22-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,morning_peak_cross_city,focused_commuter,clean,3,automatic_speech_recognition,9,38.997345,4.3330383333333335,8.215133,1.0,0,5,0,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MPCC-FC-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-acf3050f22-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,morning_peak_cross_city,focused_commuter,clean,4,natural_language_understanding,4,0.026847,0.00671175,0.013898,,,,,1.0,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MPCC-FC-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-acf3050f22-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,morning_peak_cross_city,focused_commuter,clean,5,dialogue_management,4,2.572997,0.64324925,2.550464,,,,,,4,runtime event telemetry; no retrospective substitution
