agent_a_type,agent_b_model,agent_b_llm_size,run_type,tts_engine,asr_engine,phase_order,phase,condition_phase_rows,observed_phase_rows,mean_observation_count,mean_processing_sec,maximum_processing_sec,mean_pipeline_success_rate,total_error_count,total_misinterpreted_tokens,total_corrections,mean_valid_route_parse_rate,total_candidates,evidence_source
userlm,small2-qwen2.5-1.5b,small,audio_variant,piper,faster_whisper,1,natural_language_generation,9,9,9.555555555555555,95.6163000139968,760.416633,,0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,small2-qwen2.5-1.5b,small,audio_variant,piper,faster_whisper,2,text_to_speech,9,9,9.555555555555555,2.4358217080311664,5.637732,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,small2-qwen2.5-1.5b,small,audio_variant,piper,faster_whisper,3,automatic_speech_recognition,9,9,9.555555555555555,4.914132302123802,8.73908,1.0,0.0,80.0,14.0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,small2-qwen2.5-1.5b,small,audio_variant,piper,faster_whisper,4,natural_language_understanding,9,9,4.333333333333333,0.00678464074074074,0.026139,,0,0,0,0.9777777777777779,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,small2-qwen2.5-1.5b,small,audio_variant,piper,faster_whisper,5,dialogue_management,9,9,4.333333333333333,0.7477138314814815,4.854698,,0,0,0,,36.0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,small2-qwen2.5-1.5b,small,audio_variant,piper,faster_whisper,6,speech_pipeline,9,9,9.555555555555555,7.352745230682897,13.853398,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,small2-qwen2.5-1.5b,small,text_only,piper,faster_whisper,1,natural_language_generation,9,9,9.666666666666666,53.007098975653975,207.331833,,0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,small2-qwen2.5-1.5b,small,text_only,piper,faster_whisper,2,text_to_speech,9,9,9.666666666666666,1.4817552624535957,2.498991,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,small2-qwen2.5-1.5b,small,text_only,piper,faster_whisper,3,automatic_speech_recognition,9,9,9.666666666666666,0.03288111732711733,0.19305,1.0,0.0,3.0,3.0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,small2-qwen2.5-1.5b,small,text_only,piper,faster_whisper,4,natural_language_understanding,9,9,4.333333333333333,0.005173224074074074,0.01476,,0,0,0,0.9777777777777779,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,small2-qwen2.5-1.5b,small,text_only,piper,faster_whisper,5,dialogue_management,9,9,4.333333333333333,0.16516309814814814,4.057294,,0,0,0,,37.0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,small2-qwen2.5-1.5b,small,text_only,piper,faster_whisper,6,speech_pipeline,9,9,9.666666666666666,1.51548218000518,2.542984,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
