agent_a_type,agent_b_model,agent_b_llm_size,scenario_key,persona_key,speech_pattern_key,run_type,tts_engine,asr_engine,planned_conditions,observed_conditions,completed_conditions,interrupted_conditions,not_started_conditions,task_success_rate,route_validity_rate,destination_reached_rate,mean_duration_gap_min,mean_turn_count,mean_runtime_sec,mean_constraints_satisfied,mean_constraints_total,evidence_source
userlm,mid2-phi3-mini,medium,airport_connection,delay_sensitive_traveler,clean,audio_variant,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,mid2-phi3-mini,medium,airport_connection,delay_sensitive_traveler,clean,text_only,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,mid2-phi3-mini,medium,airport_connection,delay_sensitive_traveler,hesitant,audio_variant,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,mid2-phi3-mini,medium,airport_connection,delay_sensitive_traveler,hesitant,text_only,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,mid2-phi3-mini,medium,airport_connection,delay_sensitive_traveler,noisy_station,audio_variant,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,mid2-phi3-mini,medium,airport_connection,delay_sensitive_traveler,noisy_station,text_only,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,mid2-phi3-mini,medium,late_event,verbose_planner,clean,audio_variant,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,mid2-phi3-mini,medium,late_event,verbose_planner,clean,text_only,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,mid2-phi3-mini,medium,late_event,verbose_planner,hesitant,audio_variant,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,mid2-phi3-mini,medium,late_event,verbose_planner,hesitant,text_only,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,mid2-phi3-mini,medium,late_event,verbose_planner,noisy_station,audio_variant,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,mid2-phi3-mini,medium,late_event,verbose_planner,noisy_station,text_only,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,mid2-phi3-mini,medium,midday_transfer,distracted_multitasker,clean,audio_variant,piper,faster_whisper,2,0,0,0,2,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,mid2-phi3-mini,medium,midday_transfer,distracted_multitasker,clean,text_only,piper,faster_whisper,2,0,0,0,2,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,mid2-phi3-mini,medium,midday_transfer,distracted_multitasker,hesitant,audio_variant,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
