agent_b_llm_size,agent_b_model,agent_a_type,agent_b_estimated_memory_gb,planned_conditions,completed_conditions,interrupted_conditions,not_started_conditions,task_success_rate,route_validity_rate,mean_duration_gap_min,mean_turn_count,mean_phase_processing_sec,total_asr_misinterpretations,total_transcript_corrections,mean_dialogue_state_agreement,mean_route_agreement,evidence_source
small,Qwen2.5-0.5B-Instruct,tinyllama,,4,0,0,4,,,,,,0,0,,,"condition, phase, and dialogue summaries grouped by Agent B model"
small,Qwen2.5-0.5B-Instruct,userlm,,82,68,14,0,0.6323529411764706,0.9264705882352942,-0.2698412698412698,13.0,5.685871605049576,1159.0,255.0,0.9117647058823529,0.6911764705882353,"condition, phase, and dialogue summaries grouped by Agent B model"
small,small2-qwen2.5-1.5b,userlm,,78,17,1,60,1.0,1.0,0.0,9.705882352941176,13.940087632059917,83.0,17.0,0.9444444444444444,0.9444444444444444,"condition, phase, and dialogue summaries grouped by Agent B model"
small,SmolLM2-360M-Instruct,tinyllama,,2,0,0,2,,,,,,0,0,,,"condition, phase, and dialogue summaries grouped by Agent B model"
small,TinyLlama-1.1B-Chat-v1.0,tinyllama,,8,0,0,8,,,,,,0,0,,,"condition, phase, and dialogue summaries grouped by Agent B model"
small,TinyLlama-1.1B-Chat-v1.0,userlm,,84,70,14,0,0.6714285714285714,0.9285714285714286,0.2923076923076923,12.471428571428572,6.954000787984659,1158.0,263.0,0.9095238095238095,0.6857142857142857,"condition, phase, and dialogue summaries grouped by Agent B model"
medium,gemma-2-2b-it,tinyllama,,8,0,0,8,,,,,,0,0,,,"condition, phase, and dialogue summaries grouped by Agent B model"
medium,mid2-phi3-mini,userlm,,26,0,0,26,,,,,,0,0,,,"condition, phase, and dialogue summaries grouped by Agent B model"
medium,Phi-3-mini-4k-instruct,tinyllama,,8,0,0,8,,,,,,0,0,,,"condition, phase, and dialogue summaries grouped by Agent B model"
medium,Qwen2.5-1.5B-Instruct,tinyllama,,8,0,0,8,,,,,,0,0,,,"condition, phase, and dialogue summaries grouped by Agent B model"
medium,Qwen3-4B-Instruct-2507,tinyllama,,8,0,0,8,,,,,,0,0,,,"condition, phase, and dialogue summaries grouped by Agent B model"
