phase,metric_key,metric_label,outlier_count,failure_aligned_count,success_aligned_count,contradicting_count,direction_unknown_count,outcome_alignment_rate,interpretation
asr,asr_domain_correction_yield,share of detected token misinterpretations corrected before agent input,22,0,22,0,0,1.0,descriptive outlier alignment; requires held-out validation
asr,asr_real_time_factor,ASR Real-Time Factor,89,0,81,8,0,0.9101123595505618,descriptive outlier alignment; requires held-out validation
asr,asr_recognition_latency,Recognition Latency,103,10,0,93,0,0.0970873786407767,descriptive outlier alignment; requires held-out validation
audio_input,audio_raw_turn_latency,Raw Turn Latency,62,2,0,60,0,0.03225806451612903,descriptive outlier alignment; requires held-out validation
audio_input,audio_real_time_interaction_factor,Real-Time Interaction Factor,73,0,71,2,0,0.9726027397260274,descriptive outlier alignment; requires held-out validation
audio_input,audio_silence_ratio,Silence Ratio,96,0,51,45,0,0.53125,descriptive outlier alignment; requires held-out validation
audio_input,audio_speech_rate_wpm,Speech Rate,16,0,0,16,0,0.0,descriptive outlier alignment; requires held-out validation
audio_input,audio_utterance_duration,Utterance Duration,6,0,6,0,0,1.0,descriptive outlier alignment; requires held-out validation
backend_task_execution,agent_b_model_generation_latency,Model Generation Latency,73,3,0,70,0,0.0410958904109589,descriptive outlier alignment; requires held-out validation
nlu,nlu_latency,NLU Latency,39,0,0,39,0,0.0,descriptive outlier alignment; requires held-out validation
tts,tts_leading_trailing_silence,Leading/Trailing Silence,226,0,226,0,0,1.0,descriptive outlier alignment; requires held-out validation
tts,tts_nisqa,non-intrusive synthesized-speech quality,11,0,0,11,0,0.0,descriptive outlier alignment; requires held-out validation
tts,tts_pronunciation_accuracy,Pronunciation Accuracy,44,44,0,0,0,1.0,descriptive outlier alignment; requires held-out validation
tts,tts_real_time_factor,TTS Real-Time Factor,21,0,15,6,0,0.7142857142857143,descriptive outlier alignment; requires held-out validation
tts,tts_station_pronunciation_accuracy,Station Pronunciation Accuracy,49,49,0,0,0,1.0,descriptive outlier alignment; requires held-out validation
tts,tts_synthesis_latency,Synthesis Latency,26,5,0,21,0,0.19230769230769232,descriptive outlier alignment; requires held-out validation
