phase_order,phase,file,row_count,condition_count,metric_count
0,user_simulation,phase_metrics/user_simulation.csv,2230,166,14
1,audio_input,phase_metrics/audio_input.csv,1768,166,12
2,asr,phase_metrics/asr.csv,3467,166,23
3,nlu,phase_metrics/nlu.csv,2414,166,17
4,dialogue_state_tracking,phase_metrics/dialogue_state_tracking.csv,2574,166,18
5,dialogue_management,phase_metrics/dialogue_management.csv,3420,166,21
6,backend_task_execution,phase_metrics/backend_task_execution.csv,3133,166,20
7,nlg,phase_metrics/nlg.csv,4698,166,29
8,tts,phase_metrics/tts.csv,2448,166,17
9,task_outcome,phase_metrics/task_outcome.csv,2936,166,19
10,whole_dialogue,phase_metrics/whole_dialogue.csv,4865,166,31
