agent_b_llm_size,agent_b_model,agent_a_type,expected_conditions,observed_conditions,finalized_result_folders,finalized_rate,program_completed_conditions,program_completion_rate,captured_program_failures,missing_conditions,mean_completed_runtime_sec,max_completed_runtime_sec,text_only_conditions,audio_variant_conditions,program_failure_types,interpretation
small,Qwen2.5-0.5B-Instruct,tinyllama,84,84,84,1.0,70,0.8333333333333334,0,0,247.60461697940647,434.3075255199801,42,42,InvalidCondition:14,program execution only; task satisfaction and route success are reported in task tables
small,Qwen2.5-0.5B-Instruct,userlm,222,222,222,1.0,72,0.32432432432432434,0,0,411.2882703054169,1032.3835597410798,111,111,InvalidCondition:40;NameError:94;ValueError:16,program execution only; task satisfaction and route success are reported in task tables
small,TinyLlama-1.1B-Chat-v1.0,tinyllama,84,84,84,1.0,70,0.8333333333333334,0,0,494.23543861879233,782.1687225168571,42,42,InvalidCondition:14,program execution only; task satisfaction and route success are reported in task tables
small,TinyLlama-1.1B-Chat-v1.0,userlm,222,222,222,1.0,72,0.32432432432432434,0,0,478.3595686299361,1188.4190110398922,111,111,InvalidCondition:40;NameError:94;ValueError:16,program execution only; task satisfaction and route success are reported in task tables
medium,Phi-3-mini-4k-instruct,tinyllama,84,84,84,1.0,70,0.8333333333333334,0,0,1269.4524414308403,2311.0756818540394,42,42,InvalidCondition:14,program execution only; task satisfaction and route success are reported in task tables
medium,Phi-3-mini-4k-instruct,userlm,282,282,282,1.0,60,0.2127659574468085,0,0,688.9526809440499,2321.659063791856,141,141,InvalidCondition:40;NameError:164;ValueError:18,program execution only; task satisfaction and route success are reported in task tables
medium,Qwen2.5-1.5B-Instruct,tinyllama,84,84,84,1.0,70,0.8333333333333334,0,0,536.1739275816628,990.7383571490645,42,42,InvalidCondition:14,program execution only; task satisfaction and route success are reported in task tables
medium,Qwen2.5-1.5B-Instruct,userlm,359,359,359,1.0,137,0.3816155988857939,0,0,387.7385299961834,933.8017876902595,180,179,InvalidCondition:54;NameError:164;ValueError:4,program execution only; task satisfaction and route success are reported in task tables
large,Qwen2.5-7B-Instruct,tinyllama,84,84,84,1.0,70,0.8333333333333334,0,0,1813.23167872698,4418.722898438573,42,42,InvalidCondition:14,program execution only; task satisfaction and route success are reported in task tables
large,Qwen2.5-7B-Instruct,userlm,272,272,272,1.0,50,0.18382352941176472,0,0,870.0808527859906,3016.2158061638474,137,135,InvalidCondition:54;NameError:164;ValueError:4,program execution only; task satisfaction and route success are reported in task tables
