phase,metric,is_direct_outcome_metric,is_construct_overlap_metric,n_successful,mean_successful,n_semi_successful,mean_semi_successful,n_unsuccessful_dialogue,mean_unsuccessful_dialogue,min_value,max_value,overall_mean,overall_median
agent_a_evaluation,agent_a_avg_latency_sec,False,False,409,3.0289308068459655,19,4.61808947368421,24,2.0833333333333335,1.791,8.0,3.0455230088495573,2.0
agent_a_evaluation,agent_a_best_candidate_retention,False,False,409,1.0,19,1.0,24,1.0,1.0,1.0,1.0,1.0
agent_a_evaluation,agent_a_caller_latency,False,False,409,3.0289308068459655,19,4.61808947368421,24,2.0833333333333335,1.791,8.0,3.0455230088495573,2.0
agent_a_evaluation,agent_a_closure_correctness,False,False,409,0.6894865525672371,19,0.0,24,0.0,0.0,1.0,0.6238938053097345,1.0
agent_a_evaluation,agent_a_constraint_revelation_order,False,False,409,1.0,19,1.0,23,1.0,1.0,1.0,1.0,1.0
agent_a_evaluation,agent_a_constraint_violation_catch_rate,False,False,409,0.9755501222493888,19,1.0,24,1.0,0.0,1.0,0.9778761061946902,1.0
agent_a_evaluation,agent_a_correct_acceptance_rate,False,False,409,0.6894865525672371,19,0.0,24,0.0,0.0,1.0,0.6238938053097345,1.0
agent_a_evaluation,agent_a_false_acceptance_rate,False,False,409,0.0,19,1.0,24,0.0,0.0,1.0,0.0420353982300885,0.0
agent_a_evaluation,agent_a_false_rejection_rate,False,False,409,0.3105134474327628,19,0.0,24,0.0,0.0,1.0,0.2809734513274336,0.0
agent_a_evaluation,agent_a_preference_consistency,False,False,409,1.0,19,1.0,23,1.0,1.0,1.0,1.0,1.0
agent_a_evaluation,agent_a_question_count,False,False,409,3.256723716381418,19,2.789473684210526,24,0.041666666666666664,0.0,7.0,3.066371681415929,4.0
agent_a_evaluation,agent_a_satisfaction_calibration,False,False,409,0.7188264058679706,19,1.0,24,1.0,0.0,1.0,0.745575221238938,1.0
agent_a_evaluation,agent_a_selection_regret,False,False,409,0.7970660146699267,19,13.526315789473685,0,,-21.0,17.0,1.3621495327102804,0.0
agent_a_evaluation,agent_a_time_limit_violation_catch_rate,False,False,409,1.0,19,1.0,24,1.0,1.0,1.0,1.0,1.0
agent_a_evaluation,agent_a_user_effort,False,False,409,9.61124694376528,19,9.631578947368421,24,5.875,3.0,16.0,9.413716814159292,9.0
agent_a_evaluation,agent_a_verifier_catch_rate,False,False,409,0.9596577017114915,19,1.0,24,1.0,0.0,1.0,0.963495575221239,1.0
