"agent_a","agent_b_slot","agent_b_model","model_size","active_rows","text_rows","audio_rows","task_success_rows","route_valid_rows"
"userlm","small1","TinyLlama 1.1B","small","154","77","77","54","57"
"userlm","small2","Qwen2.5 0.5B","small","154","77","77","54","57"
"userlm","medium1","Qwen2.5 1.5B","medium","154","77","77","88","91"
"userlm","medium2","Phi-3 mini","medium","154","77","77","52","54"
"userlm","large1","Qwen2.5 7B","large","154","77","77","33","35"
"tinyllama","small1","TinyLlama 1.1B","small","62","31","31","43","43"
"tinyllama","small2","Qwen2.5 0.5B","small","62","31","31","41","42"
"tinyllama","medium1","Qwen2.5 1.5B","medium","62","31","31","43","43"
"tinyllama","medium2","Phi-3 mini","medium","62","31","31","41","42"
"tinyllama","large1","Qwen2.5 7B","large","56","28","28","39","39"
