agent_b_llm_size,agent_b_model,agent_a_type,agent_b_estimated_memory_gb,planned_conditions,completed_conditions,interrupted_conditions,not_started_conditions,task_success_rate,route_validity_rate,mean_duration_gap_min,mean_turn_count,mean_phase_processing_sec,total_asr_misinterpretations,total_transcript_corrections,mean_dialogue_state_agreement,mean_route_agreement,evidence_source
small,Qwen2.5-0.5B-Instruct,tinyllama,,66,48,0,18,0.6041666666666666,0.875,0.7857142857142857,12.5625,4.0690942506880825,777.0,165.0,0.8680555555555555,0.7083333333333334,"condition, phase, and dialogue summaries grouped by Agent B model"
small,Qwen2.5-0.5B-Instruct,userlm,,104,62,0,42,0.6129032258064516,0.9193548387096774,0.7894736842105263,12.274193548387096,6.675894793544828,874.0,201.0,0.8817204301075269,0.8225806451612904,"condition, phase, and dialogue summaries grouped by Agent B model"
small,Qwen2.5-1.5B-Instruct,userlm,,78,17,1,60,1.0,1.0,0.0,9.705882352941176,13.940087632059917,83.0,17.0,0.9444444444444444,0.9444444444444444,"condition, phase, and dialogue summaries grouped by Agent B model"
small,SmolLM2-360M-Instruct,tinyllama,,2,0,0,2,,,,,,0,0,,,"condition, phase, and dialogue summaries grouped by Agent B model"
small,TinyLlama-1.1B-Chat-v1.0,tinyllama,,70,48,0,22,0.6041666666666666,0.8958333333333334,0.627906976744186,12.729166666666666,7.126772292559999,793.0,164.0,0.8888888888888888,0.75,"condition, phase, and dialogue summaries grouped by Agent B model"
small,TinyLlama-1.1B-Chat-v1.0,userlm,,104,62,0,42,0.6290322580645161,0.9193548387096774,1.4210526315789473,12.064516129032258,8.21090461595008,862.0,208.0,0.8817204301075269,0.8225806451612904,"condition, phase, and dialogue summaries grouped by Agent B model"
medium,gemma-2-2b-it,tinyllama,,8,0,0,8,,,,,,0,0,,,"condition, phase, and dialogue summaries grouped by Agent B model"
medium,Phi-3-mini-4k-instruct,tinyllama,,70,47,1,22,0.6170212765957447,0.8723404255319149,0.36585365853658536,12.127659574468085,17.853912026552,732.0,143.0,0.875,0.7291666666666666,"condition, phase, and dialogue summaries grouped by Agent B model"
medium,Phi-3-mini-4k-instruct,userlm,,127,60,0,67,0.6666666666666666,0.9,1.4444444444444444,12.166666666666666,10.76725015206714,837.0,193.0,0.8722222222222222,0.7833333333333333,"condition, phase, and dialogue summaries grouped by Agent B model"
medium,Qwen2.5-1.5B-Instruct,tinyllama,,70,48,0,22,0.625,0.8958333333333334,0.6511627906976745,13.104166666666666,7.215760561947306,850.0,155.0,0.8680555555555555,0.75,"condition, phase, and dialogue summaries grouped by Agent B model"
medium,Qwen2.5-1.5B-Instruct,userlm,,153,96,0,57,0.6041666666666666,0.9479166666666666,1.5054945054945055,11.677083333333334,6.307006866824891,1140.0,252.0,0.8958333333333334,0.7916666666666666,"condition, phase, and dialogue summaries grouped by Agent B model"
medium,Qwen3-4B-Instruct-2507,tinyllama,,8,0,0,8,,,,,,0,0,,,"condition, phase, and dialogue summaries grouped by Agent B model"
large,Qwen2.5-7B-Instruct,tinyllama,,57,42,3,12,0.6904761904761905,0.8809523809523809,0.7297297297297297,11.738095238095237,25.037543557248988,693.0,145.0,0.8518518518518519,0.6888888888888889,"condition, phase, and dialogue summaries grouped by Agent B model"
large,Qwen2.5-7B-Instruct,userlm,,94,37,0,57,0.6756756756756757,0.9459459459459459,2.5428571428571427,10.91891891891892,15.074987036647762,334.0,94.0,0.8738738738738739,0.8378378378378378,"condition, phase, and dialogue summaries grouped by Agent B model"
