agent_a_type,agent_b_model,agent_b_llm_size,run_type,tts_engine,asr_engine,phase_order,phase,condition_phase_rows,observed_phase_rows,mean_observation_count,mean_processing_sec,maximum_processing_sec,mean_pipeline_success_rate,total_error_count,total_misinterpreted_tokens,total_corrections,mean_valid_route_parse_rate,total_candidates,evidence_source
userlm,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,faster_whisper,1,natural_language_generation,15,15,10.8,36.35407860113053,199.951631,,0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,vosk,1,natural_language_generation,32,32,16.0,17.841311823664572,81.571996,,0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,faster_whisper,2,text_to_speech,15,15,10.8,6.957542087693603,28.264267,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,vosk,2,text_to_speech,32,32,16.0,2.27022973115009,7.974356,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,faster_whisper,3,automatic_speech_recognition,15,15,10.8,7.411358427601658,19.18041,1.0,0.0,90.0,45.0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,vosk,3,automatic_speech_recognition,32,32,16.0,1.6003520978133283,4.221126,1.0,0.0,1111.0,221.0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,faster_whisper,4,natural_language_understanding,15,15,5.0,0.00514818619047619,0.045806,,0,0,0,0.8733333333333333,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,vosk,4,natural_language_understanding,32,32,7.6875,0.002828448933531746,0.01548,,0,0,0,0.6741071428571428,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,faster_whisper,5,dialogue_management,15,15,5.0,0.004722017777777778,0.012931,,0,0,0,,53.0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,vosk,5,dialogue_management,32,32,7.6875,0.003005409089781746,0.014571,,0,0,0,,123.0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,faster_whisper,6,speech_pipeline,15,15,10.8,15.59060552148666,42.560376,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,vosk,6,speech_pipeline,32,32,16.0,5.112344431412644,15.636673,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,text_only,piper,faster_whisper,1,natural_language_generation,15,15,10.6,40.08992848216043,196.751758,,0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,text_only,piper,vosk,1,natural_language_generation,32,32,10.125,35.71846854786121,115.57473,,0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,text_only,piper,faster_whisper,2,text_to_speech,15,15,10.6,1.3201269564694564,14.636785,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,text_only,piper,vosk,2,text_to_speech,32,32,10.125,1.372688833675316,2.984086,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,text_only,piper,faster_whisper,3,automatic_speech_recognition,15,15,10.6,0.0950665735061235,4.61257,1.0,0.0,3.0,48.0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,text_only,piper,vosk,3,automatic_speech_recognition,32,32,10.125,0.03189626000771889,0.08796,1.0,0.0,21.0,29.0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,text_only,piper,faster_whisper,4,natural_language_understanding,15,15,4.933333333333334,0.0049984858730158736,0.026694,,0,0,0,0.8766666666666667,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,text_only,piper,vosk,4,natural_language_understanding,32,32,4.5625,0.004685422718253968,0.03166,,0,0,0,0.9515376984126984,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,text_only,piper,faster_whisper,5,dialogue_management,15,15,4.933333333333334,0.005568501428571429,0.012955,,0,0,0,,53.0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,text_only,piper,vosk,5,dialogue_management,32,32,4.5625,0.007121537797619048,0.018143,,0,0,0,,133.0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,text_only,piper,faster_whisper,6,speech_pipeline,15,15,10.6,1.4157821103452102,19.250098,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,text_only,piper,vosk,6,speech_pipeline,32,32,10.125,1.4052679986402485,3.033187,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-1.5B-Instruct,small,audio_variant,piper,faster_whisper,1,natural_language_generation,9,9,9.555555555555555,95.6163000139968,760.416633,,0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-1.5B-Instruct,small,audio_variant,piper,faster_whisper,2,text_to_speech,9,9,9.555555555555555,2.4358217080311664,5.637732,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-1.5B-Instruct,small,audio_variant,piper,faster_whisper,3,automatic_speech_recognition,9,9,9.555555555555555,4.914132302123802,8.73908,1.0,0.0,80.0,14.0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-1.5B-Instruct,small,audio_variant,piper,faster_whisper,4,natural_language_understanding,9,9,4.333333333333333,0.00678464074074074,0.026139,,0,0,0,0.9777777777777779,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-1.5B-Instruct,small,audio_variant,piper,faster_whisper,5,dialogue_management,9,9,4.333333333333333,0.7477138314814815,4.854698,,0,0,0,,36.0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-1.5B-Instruct,small,audio_variant,piper,faster_whisper,6,speech_pipeline,9,9,9.555555555555555,7.352745230682897,13.853398,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-1.5B-Instruct,small,text_only,piper,faster_whisper,1,natural_language_generation,9,9,9.666666666666666,53.007098975653975,207.331833,,0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-1.5B-Instruct,small,text_only,piper,faster_whisper,2,text_to_speech,9,9,9.666666666666666,1.4817552624535957,2.498991,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-1.5B-Instruct,small,text_only,piper,faster_whisper,3,automatic_speech_recognition,9,9,9.666666666666666,0.03288111732711733,0.19305,1.0,0.0,3.0,3.0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-1.5B-Instruct,small,text_only,piper,faster_whisper,4,natural_language_understanding,9,9,4.333333333333333,0.005173224074074074,0.01476,,0,0,0,0.9777777777777779,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-1.5B-Instruct,small,text_only,piper,faster_whisper,5,dialogue_management,9,9,4.333333333333333,0.16516309814814814,4.057294,,0,0,0,,37.0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-1.5B-Instruct,small,text_only,piper,faster_whisper,6,speech_pipeline,9,9,9.666666666666666,1.51548218000518,2.542984,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,TinyLlama-1.1B-Chat-v1.0,small,audio_variant,piper,faster_whisper,1,natural_language_generation,15,15,10.733333333333333,39.68665916677026,251.256158,,0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,TinyLlama-1.1B-Chat-v1.0,small,audio_variant,piper,vosk,1,natural_language_generation,32,32,15.09375,22.95571941691781,83.003873,,0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,TinyLlama-1.1B-Chat-v1.0,small,audio_variant,piper,faster_whisper,2,text_to_speech,15,15,10.733333333333333,9.441331583029008,152.408367,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,TinyLlama-1.1B-Chat-v1.0,small,audio_variant,piper,vosk,2,text_to_speech,32,32,15.09375,2.4285882240742747,11.343741,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,TinyLlama-1.1B-Chat-v1.0,small,audio_variant,piper,faster_whisper,3,automatic_speech_recognition,15,15,10.733333333333333,11.055212617068117,566.840117,1.0,0.0,95.0,44.0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,TinyLlama-1.1B-Chat-v1.0,small,audio_variant,piper,vosk,3,automatic_speech_recognition,32,32,15.09375,1.6405049416486475,4.712309,1.0,0.0,1115.0,230.0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,TinyLlama-1.1B-Chat-v1.0,small,audio_variant,piper,faster_whisper,4,natural_language_understanding,15,15,5.0,0.0042209311111111114,0.044649,,0,0,0,0.8666666666666667,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,TinyLlama-1.1B-Chat-v1.0,small,audio_variant,piper,vosk,4,natural_language_understanding,32,32,7.1875,0.003000694246031746,0.016367,,0,0,0,0.7079241071428571,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,TinyLlama-1.1B-Chat-v1.0,small,audio_variant,piper,faster_whisper,5,dialogue_management,15,15,5.0,0.004017486666666666,0.010458,,0,0,0,,54.0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,TinyLlama-1.1B-Chat-v1.0,small,audio_variant,piper,vosk,5,dialogue_management,32,32,7.1875,0.0032947116691468253,0.013066,,0,0,0,,120.0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,TinyLlama-1.1B-Chat-v1.0,small,audio_variant,piper,faster_whisper,6,speech_pipeline,15,15,10.733333333333333,21.86047372617845,729.566952,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,TinyLlama-1.1B-Chat-v1.0,small,audio_variant,piper,vosk,6,speech_pipeline,32,32,15.09375,5.376161646396633,18.865979,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,TinyLlama-1.1B-Chat-v1.0,small,text_only,piper,faster_whisper,1,natural_language_generation,15,15,10.533333333333333,42.903177187140635,162.212506,,0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,TinyLlama-1.1B-Chat-v1.0,small,text_only,piper,vosk,1,natural_language_generation,32,32,10.125,44.115834679687566,87.244336,,0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,TinyLlama-1.1B-Chat-v1.0,small,text_only,piper,faster_whisper,2,text_to_speech,15,15,10.533333333333333,0.9335014734136234,5.205291,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,TinyLlama-1.1B-Chat-v1.0,small,text_only,piper,vosk,2,text_to_speech,32,32,10.125,1.5231925900007157,4.797485,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,TinyLlama-1.1B-Chat-v1.0,small,text_only,piper,faster_whisper,3,automatic_speech_recognition,15,15,10.533333333333333,0.025685063047138045,0.153407,1.0,0.0,1.0,49.0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,TinyLlama-1.1B-Chat-v1.0,small,text_only,piper,vosk,3,automatic_speech_recognition,32,32,10.125,0.037805904152609086,0.225033,1.0,0.0,19.0,29.0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,TinyLlama-1.1B-Chat-v1.0,small,text_only,piper,faster_whisper,4,natural_language_understanding,15,15,4.866666666666666,0.0037511166666666664,0.021852,,0,0,0,0.8666666666666667,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,TinyLlama-1.1B-Chat-v1.0,small,text_only,piper,vosk,4,natural_language_understanding,32,32,4.5625,0.005012037003968254,0.034616,,0,0,0,0.9418154761904762,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,TinyLlama-1.1B-Chat-v1.0,small,text_only,piper,faster_whisper,5,dialogue_management,15,15,4.866666666666666,0.00447679,0.012224,,0,0,0,,52.0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,TinyLlama-1.1B-Chat-v1.0,small,text_only,piper,vosk,5,dialogue_management,32,32,4.5625,0.007354613665674603,0.021227,,0,0,0,,131.0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,TinyLlama-1.1B-Chat-v1.0,small,text_only,piper,faster_whisper,6,speech_pipeline,15,15,10.533333333333333,0.959678061985237,5.222975,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,TinyLlama-1.1B-Chat-v1.0,small,text_only,piper,vosk,6,speech_pipeline,32,32,10.125,1.5616791944978632,5.02251,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Phi-3-mini-4k-instruct,medium,audio_variant,piper,faster_whisper,1,natural_language_generation,10,10,10.8,82.94119244554196,332.046705,,0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Phi-3-mini-4k-instruct,medium,audio_variant,piper,vosk,1,natural_language_generation,28,28,15.285714285714286,34.189505007698855,106.257235,,0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Phi-3-mini-4k-instruct,medium,audio_variant,piper,faster_whisper,2,text_to_speech,10,10,10.8,4.676512281468531,17.784062,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Phi-3-mini-4k-instruct,medium,audio_variant,piper,vosk,2,text_to_speech,28,28,15.285714285714286,1.8669891707352289,36.561473,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Phi-3-mini-4k-instruct,medium,audio_variant,piper,faster_whisper,3,automatic_speech_recognition,10,10,10.8,6.692582391520979,18.550872,1.0,0.0,82.0,26.0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Phi-3-mini-4k-instruct,medium,audio_variant,piper,vosk,3,automatic_speech_recognition,28,28,15.285714285714286,1.6597397856534033,8.086066,1.0,0.0,978.0,193.0,,0,phase_metric_comparison.csv grouped by model/run type/phase
