signature,count,family_count,families,examples
slurmstepd-gpu<n>: error: pam_close_session: Cannot make<path> an entry for the specified session,212,212,push-result-chunks.err;push-results.err;slurm-fix-main-l1-qwen7.err;slurm-fix-main-m1-qwen15.err;slurm-fix-press-m1-qwen15.err;slurm-large1-qwen-7b-main-c01.err;slurm-large1-qwen-7b-main-c02.err;slurm-large1-qwen-7b-main-c03.err;slurm-large1-qwen-7b-main-c04.err;slurm-large1-qwen-7b-main-c05.err;slurm-large1-qwen-7b-main-c06.err;slurm-large1-qwen-7b-main-c07.err;slurm-large1-qwen-7b-main-c08.err;slurm-large1-qwen-7b-main-c09.err;slurm-large1-qwen-7b-main-c10.err;slurm-large1-qwen-7b-main-c11.err;slurm-large1-qwen-7b-main-c12.err;slurm-large1-qwen-7b-pressure-c01.err;slurm-large1-qwen-7b-pressure-c02.err;slurm-large1-qwen-7b-pressure-c03.err;slurm-large1-qwen-7b-pressure-c04.err;slurm-large1-qwen-7b-pressure-c05.err;slurm-large1-qwen-7b-pressure-c06.err;slurm-large1-qwen-7b-pressure-c07.err;slurm-large1-qwen-7b-pressure-c08.err;slurm-medium1-qwen-1-5b-main-c01.err;slurm-medium1-qwen-1-5b-main-c02.err;slurm-medium1-qwen-1-5b-main-c03.err;slurm-medium1-qwen-1-5b-main-c04.err;slurm-medium1-qwen-1-5b-main-c05.err,slurmstepd-gpu021: error: pam_close_session: Cannot make/remove an entry for the specified session || slurmstepd-gpu021: error: pam_close_session: Cannot make/remove an entry for the specified session || slurmstepd-gpu021: error: pam_close_session: Cannot make/remove an entry for the specified session
"<timestamp> [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: <id>, index: <n>, mask: {9, 29, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.",42,15,slurm-fix-main-l1-qwen7.err;slurm-fix-main-m1-qwen15.err;slurm-fix-press-m1-qwen15.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c01of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c02of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c03of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c04of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c05of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c06of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c01of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c02of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c03of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c04of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c05of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c06of06.err,"[1;31m2026-07-13 09:08:04.379584991 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 970990, index: 8, mask: {9, 29, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m || [1;31m2026-07-13 09:08:04.452488732 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 971009, index: 8, mask: {9, 29, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m || [1;31m2026-07-13 09:00:37.897508401 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 970157, index: 8, mask: {9, 29, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m"
"<timestamp> [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: <id>, index: <n>, mask: {14, 34, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.",42,15,slurm-fix-main-l1-qwen7.err;slurm-fix-main-m1-qwen15.err;slurm-fix-press-m1-qwen15.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c01of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c02of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c03of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c04of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c05of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c06of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c01of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c02of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c03of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c04of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c05of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c06of06.err,"[1;31m2026-07-13 09:08:04.379964095 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 970995, index: 13, mask: {14, 34, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m || [1;31m2026-07-13 09:08:04.448354048 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 971014, index: 13, mask: {14, 34, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m || [1;31m2026-07-13 09:00:37.898057648 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 970162, index: 13, mask: {14, 34, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m"
"<timestamp> [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: <id>, index: <n>, mask: {15, 35, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.",42,15,slurm-fix-main-l1-qwen7.err;slurm-fix-main-m1-qwen15.err;slurm-fix-press-m1-qwen15.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c01of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c02of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c03of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c04of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c05of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c06of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c01of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c02of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c03of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c04of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c05of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c06of06.err,"[1;31m2026-07-13 09:08:04.380035589 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 970996, index: 14, mask: {15, 35, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m || [1;31m2026-07-13 09:08:04.456541835 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 971015, index: 14, mask: {15, 35, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m || [1;31m2026-07-13 09:00:37.897835182 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 970163, index: 14, mask: {15, 35, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m"
"<timestamp> [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: <id>, index: <n>, mask: {16, 36, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.",42,15,slurm-fix-main-l1-qwen7.err;slurm-fix-main-m1-qwen15.err;slurm-fix-press-m1-qwen15.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c01of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c02of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c03of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c04of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c05of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c06of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c01of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c02of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c03of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c04of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c05of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c06of06.err,"[1;31m2026-07-13 09:08:04.380097558 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 970997, index: 15, mask: {16, 36, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m || [1;31m2026-07-13 09:08:04.448420649 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 971016, index: 15, mask: {16, 36, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m || [1;31m2026-07-13 09:00:37.898078095 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 970164, index: 15, mask: {16, 36, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m"
"<timestamp> [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: <id>, index: <n>, mask: {17, 37, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.",42,15,slurm-fix-main-l1-qwen7.err;slurm-fix-main-m1-qwen15.err;slurm-fix-press-m1-qwen15.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c01of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c02of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c03of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c04of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c05of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c06of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c01of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c02of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c03of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c04of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c05of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c06of06.err,"[1;31m2026-07-13 09:08:04.380191170 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 970998, index: 16, mask: {17, 37, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m || [1;31m2026-07-13 09:08:04.456429906 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 971017, index: 16, mask: {17, 37, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m || [1;31m2026-07-13 09:00:37.898141999 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 970165, index: 16, mask: {17, 37, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m"
"<timestamp> [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: <id>, index: <n>, mask: {18, 38, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.",42,15,slurm-fix-main-l1-qwen7.err;slurm-fix-main-m1-qwen15.err;slurm-fix-press-m1-qwen15.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c01of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c02of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c03of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c04of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c05of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c06of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c01of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c02of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c03of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c04of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c05of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c06of06.err,"[1;31m2026-07-13 09:08:04.380291773 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 970999, index: 17, mask: {18, 38, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m || [1;31m2026-07-13 09:08:04.456461359 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 971018, index: 17, mask: {18, 38, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m || [1;31m2026-07-13 09:00:37.898184477 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 970166, index: 17, mask: {18, 38, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m"
"<timestamp> [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: <id>, index: <n>, mask: {19, 39, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.",42,15,slurm-fix-main-l1-qwen7.err;slurm-fix-main-m1-qwen15.err;slurm-fix-press-m1-qwen15.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c01of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c02of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c03of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c04of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c05of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c06of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c01of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c02of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c03of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c04of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c05of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c06of06.err,"[1;31m2026-07-13 09:08:04.380360674 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 971000, index: 18, mask: {19, 39, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m || [1;31m2026-07-13 09:08:04.460370367 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 971019, index: 18, mask: {19, 39, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m || [1;31m2026-07-13 09:00:37.898239414 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 970167, index: 18, mask: {19, 39, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m"
"<timestamp> [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: <id>, index: <n>, mask: {13, 33, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.",39,14,slurm-fix-main-l1-qwen7.err;slurm-fix-main-m1-qwen15.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c01of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c02of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c03of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c04of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c05of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c06of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c01of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c02of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c03of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c04of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c05of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c06of06.err,"[1;31m2026-07-13 09:08:04.379923588 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 970994, index: 12, mask: {13, 33, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m || [1;31m2026-07-13 09:08:04.448528343 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 971013, index: 12, mask: {13, 33, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m || [1;31m2026-07-13 09:00:37.897714947 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 970161, index: 12, mask: {13, 33, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m"
"<timestamp> [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: <id>, index: <n>, mask: {10, 30, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.",36,13,slurm-fix-main-l1-qwen7.err;slurm-fix-main-m1-qwen15.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c02of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c03of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c04of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c05of06.err;slurm-userlm-small-01-tinyllama-1-1b-a98099-c06of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c01of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c02of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c03of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c04of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c05of06.err;slurm-userlm-small-02-qwen2-5-0-5b-08a799-c06of06.err,"[1;31m2026-07-13 09:08:04.379643314 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 970991, index: 9, mask: {10, 30, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m || [1;31m2026-07-13 09:08:04.444658544 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 971010, index: 9, mask: {10, 30, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m || [1;31m2026-07-13 09:00:37.897544095 [E:onnxruntime:Default, env.cc:228 ThreadMain] pthread_setaffinity_np failed for thread: 970158, index: 9, mask: {10, 30, }, error code: 22 error msg: Invalid argument. Specify the number of threads explicitly so the affinity is not set.[m"
