agent_a_type,agent_b_model,agent_b_llm_size,scenario_key,persona_key,speech_pattern_key,run_type,tts_engine,asr_engine,planned_conditions,observed_conditions,completed_conditions,interrupted_conditions,not_started_conditions,task_success_rate,route_validity_rate,destination_reached_rate,mean_duration_gap_min,mean_turn_count,mean_runtime_sec,mean_constraints_satisfied,mean_constraints_total,evidence_source
userlm,Qwen2.5-0.5B-Instruct,small,airport_connection,accessibility_rider,hesitant,audio_variant,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
tinyllama,Qwen2.5-0.5B-Instruct,small,airport_connection,crowd_averse_rider,mostly_clean,audio_variant,piper,vosk,1,1,1,0,0,1.0,1.0,1.0,8.0,17.0,424.91,3.0,3.0,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,airport_connection,crowd_averse_rider,mostly_clean,audio_variant,piper,vosk,2,2,1,1,0,1.0,1.0,1.0,0.0,11.0,438.51,3.0,3.0,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,airport_connection,crowd_averse_rider,hesitant,audio_variant,piper,faster_whisper,1,1,0,1,0,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
tinyllama,Qwen2.5-0.5B-Instruct,small,airport_connection,delay_sensitive_traveler,hesitant,audio_variant,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,airport_connection,delay_sensitive_traveler,mostly_clean,audio_variant,piper,faster_whisper,1,1,0,1,0,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,airport_connection,delay_sensitive_traveler,clean,audio_variant,piper,faster_whisper,1,1,1,0,0,0.0,1.0,1.0,4.0,8.0,644.64,2.0,2.0,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,airport_connection,delay_sensitive_traveler,hesitant,audio_variant,piper,faster_whisper,1,1,0,1,0,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
tinyllama,Qwen2.5-0.5B-Instruct,small,airport_connection,focused_commuter,clean,audio_variant,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
tinyllama,Qwen2.5-0.5B-Instruct,small,airport_connection,focused_commuter,clean,audio_variant,piper,vosk,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,airport_connection,focused_commuter,severe_channel,audio_variant,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,airport_connection,focused_commuter,clean,audio_variant,piper,faster_whisper,1,1,0,1,0,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,airport_connection,focused_commuter,clean,audio_variant,piper,vosk,1,1,0,1,0,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,airport_connection,multi_stop_errand_runner,hesitant,audio_variant,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
tinyllama,Qwen2.5-0.5B-Instruct,small,airport_connection,risk_averse_novice,severe_channel,audio_variant,piper,vosk,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,airport_connection,risk_averse_novice,clean,audio_variant,piper,faster_whisper,3,2,1,1,1,1.0,1.0,1.0,4.0,11.0,1032.35,3.0,3.0,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,airport_connection,risk_averse_novice,severe_channel,audio_variant,piper,vosk,1,1,0,1,0,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,crowded_event_exit,accessibility_rider,severe_channel,audio_variant,piper,faster_whisper,1,1,0,1,0,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
tinyllama,Qwen2.5-0.5B-Instruct,small,crowded_event_exit,crowd_averse_rider,mostly_clean,audio_variant,piper,vosk,1,1,1,0,0,1.0,1.0,1.0,3.0,13.0,343.63,3.0,3.0,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,crowded_event_exit,crowd_averse_rider,mostly_clean,audio_variant,piper,vosk,2,2,1,1,0,1.0,1.0,1.0,0.0,13.0,460.67,3.0,3.0,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,crowded_event_exit,crowd_averse_rider,clean,audio_variant,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
tinyllama,Qwen2.5-0.5B-Instruct,small,crowded_event_exit,delay_sensitive_traveler,hesitant,audio_variant,piper,faster_whisper,1,1,1,0,0,1.0,1.0,1.0,3.0,9.0,393.61,3.0,3.0,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,crowded_event_exit,delay_sensitive_traveler,hesitant,audio_variant,piper,faster_whisper,2,2,1,1,0,1.0,1.0,1.0,0.0,9.0,654.17,3.0,3.0,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,crowded_event_exit,delay_sensitive_traveler,severe_channel,audio_variant,piper,faster_whisper,1,1,0,1,0,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
tinyllama,Qwen2.5-0.5B-Instruct,small,crowded_event_exit,focused_commuter,clean,audio_variant,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,crowded_event_exit,focused_commuter,clean,audio_variant,piper,faster_whisper,4,2,0,2,2,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,crowded_event_exit,focused_commuter,mostly_clean,audio_variant,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,crowded_event_exit,multi_stop_errand_runner,severe_channel,audio_variant,piper,faster_whisper,1,1,0,1,0,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
tinyllama,Qwen2.5-0.5B-Instruct,small,crowded_event_exit,risk_averse_novice,severe_channel,audio_variant,piper,vosk,1,1,1,0,0,0.0,0.0,0.0,,5.0,41.21,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,crowded_event_exit,risk_averse_novice,severe_channel,audio_variant,piper,vosk,2,2,1,1,0,0.0,0.0,0.0,,9.0,68.94,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,crowded_event_exit,risk_averse_novice,hesitant,audio_variant,piper,faster_whisper,1,1,0,1,0,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,hospital_appointment,accessibility_rider,clean,audio_variant,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,hospital_appointment,crowd_averse_rider,severe_channel,audio_variant,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,hospital_appointment,delay_sensitive_traveler,clean,audio_variant,piper,faster_whisper,2,2,2,0,0,1.0,1.0,1.0,0.0,11.0,473.66499999999996,3.0,3.0,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,hospital_appointment,focused_commuter,hesitant,audio_variant,piper,faster_whisper,2,2,2,0,0,0.0,1.0,1.0,3.0,8.0,452.32500000000005,3.0,3.0,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,hospital_appointment,multi_stop_errand_runner,clean,audio_variant,piper,faster_whisper,2,2,2,0,0,1.0,1.0,1.0,3.0,11.0,495.225,3.0,3.0,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,hospital_appointment,risk_averse_novice,mostly_clean,audio_variant,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,late_event,accessibility_rider,clean,audio_variant,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,late_event,crowd_averse_rider,severe_channel,audio_variant,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,late_event,delay_sensitive_traveler,clean,audio_variant,piper,faster_whisper,1,1,0,1,0,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,late_event,focused_commuter,hesitant,audio_variant,piper,faster_whisper,1,1,0,1,0,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,late_event,multi_stop_errand_runner,clean,audio_variant,piper,faster_whisper,2,2,2,0,0,1.0,1.0,1.0,0.0,11.0,575.105,3.0,3.0,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,late_event,risk_averse_novice,mostly_clean,audio_variant,piper,faster_whisper,1,1,0,1,0,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,midday_transfer,accessibility_rider,mostly_clean,audio_variant,piper,faster_whisper,1,1,0,1,0,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
tinyllama,Qwen2.5-0.5B-Instruct,small,midday_transfer,crowd_averse_rider,mostly_clean,audio_variant,piper,vosk,1,1,1,0,0,1.0,1.0,1.0,0.0,15.0,309.01,3.0,3.0,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,midday_transfer,crowd_averse_rider,mostly_clean,audio_variant,piper,vosk,2,2,1,1,0,1.0,1.0,1.0,0.0,13.0,447.43,3.0,3.0,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,midday_transfer,crowd_averse_rider,severe_channel,audio_variant,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
tinyllama,Qwen2.5-0.5B-Instruct,small,midday_transfer,delay_sensitive_traveler,hesitant,audio_variant,piper,vosk,1,1,1,0,0,0.0,0.0,0.0,,20.0,256.03,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,midday_transfer,delay_sensitive_traveler,hesitant,audio_variant,piper,vosk,2,2,1,1,0,0.0,1.0,0.0,-21.0,13.0,179.81,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,midday_transfer,delay_sensitive_traveler,clean,audio_variant,piper,faster_whisper,1,1,0,1,0,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
tinyllama,Qwen2.5-0.5B-Instruct,small,midday_transfer,focused_commuter,clean,audio_variant,piper,faster_whisper,1,1,1,0,0,0.0,1.0,1.0,0.0,15.0,434.28,3.0,3.0,task_outcome_comparison.csv grouped without changing source results
tinyllama,Qwen2.5-0.5B-Instruct,small,midday_transfer,focused_commuter,clean,audio_variant,piper,vosk,1,1,1,0,0,0.0,1.0,1.0,0.0,20.0,353.02,3.0,3.0,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,midday_transfer,focused_commuter,clean,audio_variant,piper,faster_whisper,2,2,1,1,0,0.0,1.0,1.0,0.0,15.0,592.47,3.0,3.0,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,midday_transfer,focused_commuter,hesitant,audio_variant,piper,faster_whisper,1,1,0,1,0,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,midday_transfer,focused_commuter,clean,audio_variant,piper,vosk,1,1,1,0,0,1.0,1.0,1.0,0.0,13.0,277.04,3.0,3.0,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,midday_transfer,multi_stop_errand_runner,mostly_clean,audio_variant,piper,faster_whisper,1,1,0,1,0,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
tinyllama,Qwen2.5-0.5B-Instruct,small,midday_transfer,risk_averse_novice,severe_channel,audio_variant,piper,vosk,1,1,1,0,0,0.0,0.0,0.0,,9.0,82.94,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,midday_transfer,risk_averse_novice,severe_channel,audio_variant,piper,vosk,2,2,1,1,0,0.0,0.0,0.0,,19.0,109.23,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,midday_transfer,risk_averse_novice,mostly_clean,audio_variant,piper,faster_whisper,1,1,0,1,0,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
userlm,Qwen2.5-0.5B-Instruct,small,morning_peak_cross_city,accessibility_rider,clean,audio_variant,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
tinyllama,Qwen2.5-0.5B-Instruct,small,morning_peak_cross_city,crowd_averse_rider,mostly_clean,audio_variant,piper,faster_whisper,1,0,0,0,1,,,,,,,,,task_outcome_comparison.csv grouped without changing source results
tinyllama,Qwen2.5-0.5B-Instruct,small,morning_peak_cross_city,crowd_averse_rider,clean,audio_variant,piper,vosk,1,1,1,0,0,1.0,1.0,1.0,0.0,13.0,261.51,3.0,3.0,task_outcome_comparison.csv grouped without changing source results
tinyllama,Qwen2.5-0.5B-Instruct,small,morning_peak_cross_city,crowd_averse_rider,hesitant,audio_variant,piper,vosk,1,1,1,0,0,0.0,1.0,1.0,6.0,19.0,340.35,1.0,2.0,task_outcome_comparison.csv grouped without changing source results
